cat,pot(V vs. RHE),pot(V vs. SHE),pot(V vs. Ag/AgCl),pot(V vs. Fc/Fc),jtotal(mA cm^-2),jpartial(mA cm^2),FE,elect,conc,prod,pH,Author,Title,Subject
 Cu nanoflower,-0.8981969486823855,,,,,, 24.347539904558175, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.9994452149791955,,,,,, 26.53376901196549, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.0993065187239943,,,,,, 19.567690824890093, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.1991678224687927,,,,,, 20.398222807306254, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.299029126213592,,,,,, 18.51689038294272, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.3988904299583913,,,,,, 20.53386304332497, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.4987517337031897,,,,,, 23.56778485624956, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.6,,,,,, 24.059098709419586, KHCO3, 0.1M, H2,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.5986130374479888,,,,,, 5.923740567479257, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.6998613037447989,,,,,, 5.906579844378115, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.7997226074895976,,,,,, 6.737111826794234, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.8995839112343966,,,,,, 6.889677707515446, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.9994452149791955,,,,,, 17.21173511366041, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.0993065187239943,,,,,, 22.618538282517207, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.1991678224687927,,,,,, 32.43212111239099, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.299029126213592,,,,,, 29.025364959213917, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.3988904299583913,,,,,, 33.75420202637581, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.4987517337031897,,,,,, 34.754225534215664, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.598613037447989,,,,,, 50.3305202284962, KHCO3, 0.1M, HCOOH,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.7005816809555467,,,,,, 0, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.8001010260567374,,,,,, 3.4984872129132824, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.8995439940703607,,,,,, 4.225180484265451, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.00011873165431,,,,,, 4.111100888925151, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.0995391337102416,,,,,, 4.05701202418377, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.1978277661958487,,,,,, 4.84369602613485, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.299546424250419,,,,,, 4.309264714306302, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.4001228976772681,,,,,, 4.255245283280885, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.4995467714189976,,,,,, 4.321276747169279, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.6001388674319407,,,,,, 4.807798794977863, KHCO3, 0.1M, CH4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.8001027618996366,,,,,, 3.558547377228173, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-0.8985892804757589,,,,,, 11.192090111076588, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.001453594843852,,,,,, 10.297367247074667, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.0996936237282777,,,,,, 9.402366648208882, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.1980811992591418,,,,,, 13.612480016108634, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.3008361555245793,,,,,, 8.933966800268713, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.3990796560948033,,,,,, 8.159086530032695, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu nanoflower,-1.4996908463796376,,,,,, 9.306270385305055, KHCO3, 0.1M, C2H4,,Jia-Fang Xie,Efficient electrochemical CO2 reduction on a unique chrysanthemum-like Cu nanoflower electrode and direct observation of carbon deposite,Electrochimica Acta
 Cu,-1.3010651845795862,,,,,, 1.2964986478837943, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.2003171970316333,,,,,, 40.216613734985216, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.100722045783284,,,,,, 31.079609772970244, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0004459232123768,,,,,, 9.398779950946476, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.9008452691654615,,,,,, 0.9684925476385047, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.2005964640588642,,,,,, 4.350748380604998, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.1008183447581911,,,,,, 18.71206999559776, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0003840167285078,,,,,, 17.34934123640022, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.9008108766744232,,,,,, 5.38547103955726, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.2006281051506193,,,,,, 0.28712816803975727, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.1009559147223444,,,,,, 1.0441560279227673, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0012163150116344,,,,,, 10.458461731966537, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.9007338374944973,,,,,, 15.279502861455242, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.8011414376454314,,,,,, 5.789140620086783, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.2995794289667315,,,,,, 92.10996949877365, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.2002924344380856,,,,,, 43.396838249166706, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.100768819571096,,,,,, 25.072519023960737, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0002038000754671,,,,,, 40.49430853405447, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.9004999685554368,,,,,, 45.31495660650272, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.8006379315766307,,,,,, 70.45370574177724, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.2017356588708305,,,,,, 2.106938590601324, CO2 saturated KHCO3, 0.1M, CH2O2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.1013024520074745,,,,,, 2.5589541553072905, CO2 saturated KHCO3, 0.1M, CH2O2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0018347584800948,,,,,, 10.210819250402476, CO2 saturated KHCO3, 0.1M, CH2O2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.9026020725975419,,,,,, 26.917193175475077, CO2 saturated KHCO3, 0.1M, CH2O2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-0.8020244634464009,,,,,, 21.805594880797336, CO2 saturated KHCO3, 0.1M, CH2O2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.200993827510051,,,,,, 3.5252360188653355, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.101483662721558,,,,,, 9.54074409649471, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0016450535137888,,,,,, 2.9017579057218867, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.200111111111111,,,,,, 0.1093050647820979, CO2 saturated KHCO3, 0.1M, CH3COOH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.100555555555555,,,,,, 1.0648763250883393, CO2 saturated KHCO3, 0.1M, CH3COOH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu,-1.0002222222222221,,,,,, 0.5045583038869266, CO2 saturated KHCO3, 0.1M, CH3COOH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.2000360144548927,,,,,, 0.3947948199208895, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1000425625376004,,,,,, 1.40319955691308, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.0000366965468412,,,,,, 0.4998369800242699, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9000346502709953,,,,,, 0.18471049971424236, CO2 saturated KHCO3, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.2000360144548927,,,,,, 0.3947948199208895, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1000874441878263,,,,,, 8.314973691713532, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.0002420062234072,,,,,, 32.11752717113279, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9002351853039199,,,,,, 31.067105570099272, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8001386010839806,,,,,, 16.193135699464846, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7000859435855393,,,,,, 8.083880939486164, CO2 saturated KHCO3, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1000377878939593,,,,,, 0.6679044361896445, CO2 saturated KHCO3, 0.1M, C2H6, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.000039561333026,,,,,, 0.9410140524583426, CO2 saturated KHCO3, 0.1M, C2H6, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9000394249146364,,,,,, 0.9200056204376779, CO2 saturated KHCO3, 0.1M, C2H6, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8000373786387901,,,,,, 0.6048791401276503, CO2 saturated KHCO3, 0.1M, C2H6, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7000391520778569,,,,,, 0.8779887563963484, CO2 saturated KHCO3, 0.1M, C2H6, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1000330132503184,,,,,, -0.06739068453384789, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.0000328768319284,,,,,, -0.0883991165545126, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9000441995582774,,,,,, 1.6553007411611133, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8000898997188418,,,,,, 8.693125468085611, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7001384646655909,,,,,, 16.172127267444182, CO2 saturated KHCO3, 0.1M, CO, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.2006519434845897,,,,,, 95.24786539324651, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1005610888370198,,,,,, 81.2562496674802, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.0002582400117865,,,,,, 34.61753058159255, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9002829317403305,,,,,, 38.420056777333826, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8003123981125153,,,,,, 42.95787809379857, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7002807490460946,,,,,, 38.083921865003106, CO2 saturated KHCO3, 0.1M, H2, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1002224694104558,,,,,, 0.4843545968951162, CO2 saturated KHCO3, 0.1M, HCOO-, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.0005561735261401,,,,,, 1.2607002950138053, CO2 saturated KHCO3, 0.1M, HCOO-, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9001112347052278,,,,,, 6.71107994389898, CO2 saturated KHCO3, 0.1M, HCOO-, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8012235817575084,,,,,, 16.94382647385983, CO2 saturated KHCO3, 0.1M, HCOO-, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7,,,,,, 26.52476181264204, CO2 saturated KHCO3, 0.1M, HCOO-, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1998887652947718,,,,,, 0.2514871596459898, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.100222469410456,,,,,, 7.875658944721195, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.00055617352614,,,,,, 16.478091599361633, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9001112347052276,,,,,, 7.5806451612903345, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8004449388209118,,,,,, 2.704816946365554, CO2 saturated KHCO3, 0.1M, C2H5OH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1998887652947714,,,,,, 0.10932052496492073, CO2 saturated KHCO3, 0.1M, CH3COOH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.0994438264738593,,,,,, 1.0755059606865895, CO2 saturated KHCO3, 0.1M, CH3COOH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9997775305895438,,,,,, 0.4833757178175979, CO2 saturated KHCO3, 0.1M, CH3COOH, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.4,,,,,, 0.4483158232634423, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.3,,,,,, 0.6368369795265494, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1993506493506494,,,,,, 0.8256301720902002, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1,,,,,, 0.8672517260704353, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9993506493506494,,,,,, 0.9094173526516442, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9000000000000001,,,,,, 1.0976664726143212, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7993506493506496,,,,,, 1.1398320991954733, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.7000000000000002,,,,,, 0.7415709552284397, CO2 saturated KHCO3 + PdCl2, 0.1M, CH4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.4006493506493507,,,,,, 1.0345540508926092, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.3,,,,,, 3.422760733192206, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.2006493506493507,,,,,, 4.637402815031692, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1.1,,,,,, 4.239685743665802, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-1,,,,,, 3.8416966359992557, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.9000000000000001,,,,,, 6.522886413963306, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
 Cu2O-derived Cu,-0.8000000000000001,,,,,, 5.685014608349604, CO2 saturated KHCO3 + PdCl2, 0.1M, C2H4, 6.8,Chung Shou Chen,jp5b09144 1..8,J. Phys. Chem. C 2015.119:26875-26882
